user_loc,fr_loc,YouTube,ISO_1,ISO_2,LangName_1,LangName_2,LangSimilarity,Robustness,NewSimilarity,fb_sci,Spotify,Netflix Film,Netflix TV
US,US,34249,eng,eng,English,English,100.0,,64.6181655590001,212464.0,4631,417,284
US,CA,25261,eng,eng,English,English,100.0,,72.481989518,10448.0,3431,208,226
US,GB,17524,eng,eng,English,English,100.0,,79.260035,5261.0,2269,184,193
US,DE,8829,eng,deu,English,German,4.72,High,4.170912,3230.0,1390,170,152
US,FR,3300,eng,fra,English,French,9.665,High,9.058714,1791.0,878,168,141
US,BR,2192,eng,por,English,Portuguese,7.944,High,8.546115,1511.0,668,168,130
US,MX,3051,eng,spa,English,Spanish,7.907,High,19.427151744,10888.0,642,175,123
US,IN,1165,eng,hin,English,Hindi,0.629,High,0.494789776,780.0,463,115,99
US,JP,718,eng,jpn,English,Japanese,1.786,High,1.581208,2328.0,316,90,30
US,KR,792,eng,kor,English,Korean,0.53,High,0.472868,2439.0,1127,120,26
CA,US,25261,eng,eng,English,English,100.0,,72.481989518,10448.0,3431,208,226
CA,CA,36823,eng,eng,English,English,100.0,,90.728191338,1168333.0,4026,475,313
CA,GB,19220,eng,eng,English,English,100.0,,90.303206,10675.0,2402,223,216
CA,DE,9715,eng,deu,English,German,4.72,High,5.538467,4654.0,1528,205,171
CA,FR,5821,eng,fra,English,French,9.665,High,38.067892,7921.0,958,196,155
CA,BR,2251,eng,por,English,Portuguese,7.944,High,11.219125,1378.0,662,207,138
CA,MX,2422,eng,spa,English,Spanish,7.907,High,13.459084384,2399.0,521,208,128
CA,IN,1551,eng,hin,English,Hindi,0.629,High,0.738360628999999,3276.0,494,135,108
CA,JP,803,eng,jpn,English,Japanese,1.786,High,2.124358,2654.0,324,135,33
CA,KR,981,eng,kor,English,Korean,0.53,High,0.640545,3676.0,1152,132,29
GB,US,17524,eng,eng,English,English,100.0,,79.260035,5261.0,2269,184,193
GB,CA,19220,eng,eng,English,English,100.0,,90.303206,10675.0,2402,223,216
GB,GB,34113,eng,eng,English,English,100.0,,100.0,771894.0,4017,451,302
GB,DE,10052,eng,deu,English,German,4.72,High,4.72,8767.0,1505,202,174
GB,FR,3735,eng,fra,English,French,9.665,High,9.665,6233.0,928,196,156
GB,BR,2069,eng,por,English,Portuguese,7.944,High,7.944,1540.0,632,186,133
GB,MX,2121,eng,spa,English,Spanish,7.907,High,7.843784,478.0,451,189,119
